acceptance_reasons,challenger_selection_reason,cost_converged,improvement_over_original,instance_id,matrix_disagreement_from_original,matrix_stable,matrix_target_accepted,max_customer_membership_instability,max_near_best_matrix_disagreement,mean_near_best_matrix_disagreement,n_customers,near_best_seed_count,needs_review,original_cost,ortools_beats_pyvrp,ortools_checked,ortools_cost,ortools_feasible,pyvrp_best_cost,pyvrp_candidate_count,pyvrp_feasible_count,pyvrp_seed_spread_relative,pyvrp_worst_cost,reference_accepted,reference_base_seed,reference_cost,reference_derived_seed,reference_num_vehicles,reference_route_hash,reference_runtime_seconds,reference_solver,reference_time_budget,relative_improvement_over_original,source_file,vehicle_count_delta_from_original
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.2877917640568981,cvrp_s7799_n20-50-100_x66667_cvrp100_0007,0.09878787878787879,False,False,0.0,0.0,0.0,100,1,True,15.709875601056826,False,True,16.55271456942856,True,15.422083836999928,4,4,0.006994183652933292,15.52994872366684,False,9102,15.422083836999928,1191842208,10,241dee84c4aa21fb620a516ec3d3fe236f0778ed7e97774bfaa0424cb3be4d47,40.09288809999998,pyvrp,40.0,0.018319162504223645,cvrp100_0007.json,0
"[""accepted""]",not_selected,True,0.2229157819613654,cvrp_s7799_n20-50-100_x66667_cvrp100_0377,0.05393939393939394,True,True,0.0,0.0,0.0,100,4,False,13.118587939628368,False,False,,False,12.895672157667002,4,4,1.3774829397660624e-16,12.895672157667004,True,9101,12.895672157667002,1446145046,11,b92b31adb1b514ce338ac03801d05f4c0f31586fff4bdc0f0108627b84089635,40.09551090000241,pyvrp,40.0,0.016992360990925395,cvrp100_0377.json,1
"[""accepted""]",stable_control,True,0.21244041313711293,cvrp_s7799_n20-50-100_x66667_cvrp100_0496,0.02727272727272727,True,True,0.0,0.0,0.0,100,3,False,13.997958946970714,False,True,14.654949075511249,True,13.785518533833601,4,4,0.0013556940499072606,13.804207479284806,True,9102,13.785518533833601,2110417435,10,f1340118ae24668d0fc9f7d661129e6c91ed81141af18e4c8c3580b7d8925f06,40.087719399998605,pyvrp,40.0,0.015176527802511306,cvrp100_0496.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.11849661650787802,cvrp_s7799_n20-50-100_x66667_cvrp100_0639,0.0890909090909091,False,False,0.0,0.0,0.0,100,1,True,13.08333867011764,False,True,13.713423502441273,True,12.964842053609763,4,4,0.0015058236691995418,12.984364819641522,False,9102,12.964842053609763,1560436212,10,2c22e9ac1afe68040e387fdf3d39e83e92cf8d06e9bcf1f1b3f7a0563cfd9b8c,40.155090799999016,pyvrp,40.0,0.009057062535461565,cvrp100_0639.json,0
"[""accepted""]",not_selected,True,0.30361045369569695,cvrp_s7799_n20-50-100_x66667_cvrp100_0689,0.08404040404040404,True,True,0.0,0.0,0.0,100,3,False,17.000732177869093,False,False,,False,16.697121724173396,4,4,0.0026259287701775316,16.74096717648806,True,9101,16.697121724173396,1131258062,11,ea1b2cfa8cf98967b5e5bbaf534441ee4a2c719cd3824f5584bbecadf179fcf9,40.137105199999496,pyvrp,40.0,0.017858669292545263,cvrp100_0689.json,0
"[""accepted""]",not_selected,True,0.06575856838741068,cvrp_s7799_n20-50-100_x66667_cvrp100_0839,0.033535353535353536,True,True,0.0,0.0,0.0,100,4,False,13.8745378235098,False,False,,False,13.808779255122388,4,4,2.5428024567581982e-05,13.809130385100536,True,9103,13.808779255122388,1891685898,11,eb5527eb79d09f8b2162d3f757db34196f0b4704c85b43df47b1a7d3000a7f73,40.09451540000009,pyvrp,40.0,0.004739514153472244,cvrp100_0839.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.24651586674477954,cvrp_s7799_n20-50-100_x66667_cvrp100_0905,0.07757575757575758,False,False,0.0,0.0,0.0,100,1,True,13.27070168619914,False,True,13.676629437007202,True,13.02418581945436,4,4,0.0029225490572543263,13.062249641442511,False,9102,13.02418581945436,2140903339,9,3143efa5df9c7fd5a2f7d11020c4873a17c8874d46dcc6ff1756d27a956af5d7,40.08991879999667,pyvrp,40.0,0.018575948173195966,cvrp100_0905.json,0
"[""pyvrp_cost_not_converged"", ""route_membership_ambiguous""]",unstable_cost,False,0.2684845909041691,cvrp_s7799_n20-50-100_x66667_cvrp100_0938,0.057777777777777775,False,False,0.0,0.0,0.0,100,1,True,16.88225852127031,False,True,17.176796039098182,True,16.61377393036614,4,4,0.0030726361221054916,16.664822012269077,False,9102,16.61377393036614,513943378,11,8a9ae2f881206b574db47d14fb6901b54bb603b0f39297e968dad9ec8015eca9,40.08845350000047,pyvrp,40.0,0.015903357395333082,cvrp100_0938.json,0
"[""route_membership_ambiguous""]",unstable_matrix,True,0.2844355658475983,cvrp_s7799_n20-50-100_x66667_cvrp100_10101,0.09212121212121212,False,False,0.19,0.07858585858585859,0.061548821548821554,100,4,True,15.674456373468082,False,True,18.005181798381717,True,15.390020807620484,4,4,0.0009634653113734323,15.404848558809942,True,9102,15.390020807620484,3720215807,11,c36983126795a293a4fbd373a813a7e6cb8fb305dd55868009d1187b2e8d3c50,40.094727600000624,pyvrp,40.0,0.018146438962250593,cvrp100_10101.json,0
"[""route_membership_ambiguous""]",unstable_matrix,True,0.18682439612466695,cvrp_s7799_n20-50-100_x66667_cvrp100_10332,0.07151515151515152,False,False,0.24,0.05919191919191919,0.03057239057239057,100,4,True,16.35733700103129,False,True,16.569374117997484,True,16.170512604906623,4,4,7.480150996571061e-05,16.17172218366639,True,9102,16.170512604906623,3902535193,10,886a7d4d871edfd7ca953e5d35d2f871e8d14dffaae86e5956c5d45bb2448b46,40.07760950000011,pyvrp,40.0,0.011421443240601336,cvrp100_10332.json,0
